idx,split,tim_mm,tim_k,spot_mm,q_w,r_sink,t_max,t_die_mean,t_top_max,penalty,t_1d,iters,residual,q_out,seconds
628,train,0.05,1.659561837065278,5.0,11.308957360058312,0.5001212342237922,38.35817348793013,34.41175436812627,31.265877890821685,3.9464191198038634,34.4211784993508,2197,9.977321765510993e-09,11.308957360058308,1.0879943370819092
629,train,0.15000000000000002,2.8262807086375483,1.4,12.569747699617928,1.4486582333923672,70.70909330493667,50.26801366923126,44.35938822156599,20.441079635705414,50.278488459133825,2444,9.947101544158948e-09,12.569747699617928,1.358267068862915
630,train,0.125,4.465061268634586,0.7,6.203957637613476,0.3332602687090867,38.46304837691707,28.995627696415703,27.66987075578223,9.46742068050137,29.000797661167258,2158,9.971662668375881e-09,6.203957637613474,1.0461337566375732
631,train,0.175,6.122673994987235,1.25,7.13533699922603,0.5278098850982336,39.88361565568679,31.025549830105255,29.471159254657124,8.858065825581534,31.031495944323577,2288,9.98243585624528e-09,7.1353369992260305,1.5221798419952393
632,train,0.2,3.8709889319176476,0.6000000000000001,1.8989239219165017,1.756421201225988,33.31714637237258,29.374965712549184,28.51832707220578,3.942180659823393,29.376548149172457,2466,9.998496412312333e-09,1.8989239219165026,1.3670892715454102
633,train,0.07500000000000001,2.379410832413783,1.0,7.038455941221079,1.959593896626064,51.43574101734691,41.22808438478494,39.54986139565999,10.20765663256197,41.233949764780526,2474,9.995281414828638e-09,7.03845594122108,1.0373363494873047
634,train,0.125,5.72843792425057,8.0,10.25215474294719,0.8105920423040929,36.646703750677595,35.863541476212305,33.510819443287836,0.7831622744652904,35.87208493854975,2114,9.960821570189398e-09,10.25215474294719,0.9562792778015137
635,test,0.1,5.594866434664532,1.35,6.801981795513972,1.005551731778608,39.64442126088274,33.26522644397209,32.59922652098914,6.379194816910648,33.270894762162584,2408,9.959642132821333e-09,6.8019817955139725,0.9756355285644531
636,train,0.07500000000000001,1.2713063501260464,1.15,2.733996335810227,0.771902999034681,33.87658519407073,28.8075838859955,27.34953162510765,5.069001308075229,28.809862216320195,2365,9.958734994052322e-09,2.733996335810228,1.0175349712371826
637,test,0.1,3.605236183957679,7.75,1.5071126346342503,1.254814883354998,27.513075319473703,27.355651040438044,26.925164804106185,0.15742427903565925,27.356906967643596,2198,9.992793887560976e-09,1.5071126346342514,0.8035314083099365
638,test,0.25,1.0477583442587464,0.6500000000000001,2.6587935329672217,0.49421440579960035,42.061643374102445,32.73999734047189,26.43622874993818,9.321646033630557,32.74221386783689,2280,9.980397121413534e-09,2.658793532967223,0.984830379486084
639,train,0.15000000000000002,1.8817860445896915,1.1,8.406551508844464,0.30068464361870295,52.488724852084786,34.4879117779321,28.12401333444881,18.00081307415269,34.494917237894406,2124,9.953808918829466e-09,8.406551508844469,1.0722954273223877
640,train,0.07500000000000001,1.2404132183483763,1.9,5.607048185617778,1.0605203116081394,42.87220910929556,34.509502502035865,31.41544356229953,8.362706607259696,34.51417504227886,2402,9.955247993670846e-09,5.607048185617776,1.1170716285705566
641,train,0.07500000000000001,1.6665690113613063,0.25,14.179136617783456,0.38497220618561895,69.14644613186623,37.27674891131493,31.744918346016355,31.869697220551295,37.288564858698734,2207,9.945979054095117e-09,14.17913661778346,1.0489516258239746
642,train,0.2,1.4013506732607501,9.350000000000001,9.647243362379946,1.222957054089517,51.63052135603307,50.86411383688025,36.83748635431303,0.7664075191528212,50.87215321208304,1942,9.978405110260936e-09,9.647243362379943,1.0490875244140625
643,train,0.07500000000000001,9.698357779565796,0.35,14.643012495592048,0.4798819348990726,48.970289516596566,33.61079345591687,33.80248017258426,15.359496060679696,33.622995966361245,2269,9.973707560677915e-09,14.643012495592046,1.093879222869873
644,train,0.22500000000000003,2.6307741468159307,1.05,14.037406598712476,0.4230083918016588,74.69306049150626,43.37641508825052,31.95649037793307,31.31664540325574,43.38811292764187,2232,9.993137502351577e-09,14.037406598712476,1.295100450515747
645,train,0.175,9.932738709487335,1.0,10.082848654439761,2.786300713773185,66.01403963166877,55.18118336336881,54.28365177181705,10.832856268299956,55.18958573728007,2500,9.969221367172572e-09,10.082848654439761,1.6434040069580078
646,train,0.175,8.372677492524682,2.0500000000000003,10.861556305684331,0.4229659809742313,40.53044415724184,32.199175294655916,30.612566899016386,8.331268862585922,32.20822659163613,2224,9.963312502932936e-09,10.861556305684331,1.3444805145263672
647,train,0.05,3.4149742305044084,3.0,7.3874623034275455,0.4286535579269885,32.69939492492671,29.47606991376179,28.804367193380184,3.223325011164917,29.482226132376802,2209,9.966673909789086e-09,7.387462303427549,1.1744189262390137
648,train,0.22500000000000003,7.151428336539134,0.30000000000000004,10.924069098171373,2.9957894790286312,82.15054206174862,61.49999426618709,58.928025205754295,20.650547795561536,61.509097657169804,2505,9.968755261402566e-09,10.924069098171373,1.4712738990783691
649,train,0.1,1.0173795320304442,0.45000000000000007,10.438020212503883,0.34443881728487674,68.43240160529177,39.17680952520427,29.31501086131632,29.255592080087503,39.18550787603504,2174,9.963911005908088e-09,10.438020212503877,1.2863011360168457
650,train,0.07500000000000001,4.830589172290919,2.2,6.112585842294941,1.4941821734964558,39.04508765145295,35.27083172251286,34.78163645250644,3.774255928940093,35.275925544068784,2441,9.94928593455036e-09,6.112585842294942,1.2294368743896484
651,test,0.175,3.929112175406744,0.55,8.883897610191536,2.2857486495784363,67.20473092986353,49.537105077342346,46.206714893459704,17.667625852521184,49.54450832543141,2492,9.986462129610982e-09,8.883897610191536,1.5710108280181885
652,train,0.25,2.9634083986839017,0.8,2.20240693212602,0.5269244943977396,33.32350652623305,28.08641123330941,26.326828094071306,5.237095292923637,28.08824657249961,2286,9.983597304080853e-09,2.20240693212602,1.4318187236785889
653,train,0.2,1.0260930666768282,9.5,4.114751529802359,1.9588320327041049,41.50211087805704,41.207209161437056,33.07178917398094,0.2949017166199823,41.210638214885456,1910,9.994242866027373e-09,4.114751529802362,1.1419563293457031
654,train,0.25,1.9213263972721952,1.15,5.541679297982471,1.8856976831622556,57.07022824290644,42.83154709628272,35.8246748051898,14.238681146623719,42.83616516268813,2468,9.979520700580284e-09,5.54167929798247,1.5930209159851074
655,test,0.07500000000000001,9.071798766851932,6.3,3.1500901372685917,1.7939483337173183,31.33056432771241,31.008656627329298,30.79281156543165,0.321907700383111,31.011281702450095,2329,9.987102912835173e-09,3.1500901372685925,1.2171175479888916
656,train,0.07500000000000001,8.191833310020977,1.7000000000000002,5.709335232793895,0.4306721139296428,31.32698658579026,28.157605198365328,28.07278317731302,3.169381387424931,28.16236297774077,2229,9.97140695952998e-09,5.7093352327938955,1.344632625579834
657,train,0.07500000000000001,1.0275644910212807,0.6000000000000001,13.796280885938367,1.8809768346663702,94.63856599194598,61.445516075839514,52.16169962536755,33.19304991610647,61.45701297681623,2470,9.954251782783447e-09,13.796280885938366,1.1818015575408936
658,train,0.175,1.2611348326958491,2.2,4.600106636430873,1.0472803632602972,45.68318442290832,36.34272578724618,30.090528029671148,9.340458635662138,36.346559210209904,2392,9.972155801322276e-09,4.600106636430873,1.2389426231384277
659,train,0.25,2.091485632647815,0.7,9.033834228344364,0.4575509027885344,65.4168526616159,40.210328254426265,29.71992791664907,25.20652440718964,40.21785645058843,2252,9.978373907688611e-09,9.033834228344361,1.006819725036621
660,train,0.1,4.475198104137979,0.4,14.028319792276656,0.9612712515098375,64.29351139052885,42.05224167934553,40.076938615233864,22.24126971118332,42.0639319459101,2401,9.996709264259488e-09,14.028319792276651,0.9157545566558838
661,test,0.15000000000000002,6.5997574037716555,2.8,10.940013177115638,1.5604584012249678,51.69814637541202,44.89521057056095,43.088713754128754,6.802935804851074,44.904327248261595,2435,9.970801683553952e-09,10.94001317711564,1.141857624053955
662,train,0.175,4.107763532468072,0.7,2.3931350001164002,1.2116351786714212,33.41459228087198,28.992924419074633,28.137917274939507,4.421667861797346,28.994918698262307,2430,9.954447985157857e-09,2.3931350001164,1.0462982654571533
663,train,0.22500000000000003,1.165072103874828,0.6000000000000001,1.849900584426764,1.0617171771843301,36.785562752412375,30.593658054528355,27.066690416673687,6.19190469788402,30.595199669586364,2405,9.968321074990279e-09,1.849900584426763,1.1148173809051514
664,train,0.25,4.077625339664486,4.6,12.506330090806074,0.6118778934671675,48.80962254060169,40.70561397669968,33.30337914853431,8.104008563902006,40.71603591868027,2255,9.989214957715291e-09,12.506330090806074,1.6227283477783203
665,train,0.07500000000000001,3.53960282213412,2.0,7.620420550158332,1.3559233702170908,43.281929684603924,37.18234632318143,36.12650848749207,6.099583361422496,37.18869667367641,2433,9.951345908143574e-09,7.620420550158332,1.8438494205474854
