idx,split,tim_mm,tim_k,spot_mm,q_w,r_sink,void_mm,void_center_mm,t_max,t_die_mean,penalty,t_1d,iters,residual,q_out,seconds
452,train,0.1,1.063789690004061,1.9500000000000002,10.798910381927065,1.3335175497844238,1.175,1.4179263810646827,69.81021910451513,50.44918759447083,19.3610315100443,49.8938603861585,3496,9.98638565312972e-09,10.798910381927062,2.0960533618927
453,train,0.07500000000000001,1.4266049241503618,7.800000000000001,11.661108469478556,2.5110788523341445,1.5250000000000001,8.6293225427506,67.23944583042531,62.53321550367854,4.70623032674677,60.78175224138941,4118,9.990572996927467e-09,11.661108469478556,1.8927249908447266
454,test,0.22500000000000003,1.0083614748167502,0.30000000000000004,2.5328225598114127,0.37365836392911267,1.75,7.397852654454083,42.29357853960626,32.946316348315264,9.347262191290994,31.678211471109094,4862,9.983822012965707e-09,2.5328225598114162,3.649019718170166
455,test,0.125,3.892362451083605,0.45000000000000007,11.470622430074453,0.6790834929830566,0.0,0.0,57.716955677219325,36.836442221358,20.880513455861326,36.83644222144482,2346,9.968258422878039e-09,11.470622430074453,1.1617779731750488
456,train,0.22500000000000003,2.140920566290781,0.7,12.366182144626197,1.7260272673660086,0.375,7.962901380922964,92.97693301921782,59.96604269542591,33.01089032379191,59.73219975782658,2460,9.970591482016694e-09,12.366182144626196,1.3727355003356934
457,train,0.1,4.755278549698752,0.5,10.07331502394123,0.913340878234305,0.35,5.176636261905845,55.81984201319918,37.25899272906492,18.560849284134257,36.637702539936555,3305,9.993644210375855e-09,10.073315023941232,1.5564637184143066
458,train,0.125,1.4596656475486305,0.4,14.357515906980106,0.5780773391000316,0.6000000000000001,8.74355418467455,85.25791445995354,46.249959185287395,39.007955274666145,46.04961872578214,2948,9.995855137637587e-09,14.357515906980105,1.5630321502685547
459,train,0.05,3.6556609645387046,7.4,5.1989486815905375,0.3908012364905782,0.6500000000000001,7.822828893138498,28.940566527014465,28.01811996084936,0.9224465661651031,27.907470847142132,3146,9.98062860793018e-09,5.1989486815905375,1.7884948253631592
460,train,0.175,2.968749206624434,9.000000000000002,8.742182088821682,0.55981128387595,0.275,7.956411283558333,36.36092071064164,35.494234751222706,0.8666859594189376,35.32409560628004,3266,9.987815283659186e-09,8.74218208882168,1.7032861709594727
461,train,0.22500000000000003,1.2630921930640968,0.8,8.914431658069208,0.3312046155787892,0.0,0.0,71.97161905540345,44.114448396033666,27.857170659369785,44.114448598895635,2163,9.950598216580864e-09,8.914431658069208,1.3490252494812012
